Time	Per
766.3493	0.07661 
766.3805	0.07662 
766.1507	0.07659 
765.9545	0.07658 
766.3621	0.07661 
766.3852	0.07662 
766.0353	0.07658 
766.2083	0.07660 
766.7942	0.07665 
766.6144	0.07664 
766.6609	0.07664 
766.8610	0.07666 
766.7271	0.07665 
766.5483	0.07663 
766.9812	0.07667 
766.8809	0.07666 
766.7290	0.07665 
766.6906	0.07664 
765.9774	0.07658 
766.6682	0.07664 
766.9221	0.07667 
766.2852	0.07660 
766.4678	0.07662 
766.7958	0.07665 
767.4088	0.07672 
767.9640	0.07677 
767.7411	0.07675 
765.9868	0.07658 
766.0817	0.07659 
766.1648	0.07659 
766.4222	0.07662 
766.1342	0.07659 
766.5855	0.07663 
766.9610	0.07667 
766.7043	0.07665 
766.6741	0.07664 
766.3708	0.07661 
766.3172	0.07661 
766.4591	0.07662 
766.5210	0.07663 
766.4963	0.07663 
766.2648	0.07660 
766.1853	0.07660 
766.5551	0.07663 
766.9366	0.07667 
766.5820	0.07663 
766.5539	0.07663 
766.4634	0.07662 
766.7729	0.07665 
766.8335	0.07666 
766.6053	0.07664 
767.1978	0.07669 
766.9416	0.07667 
767.4114	0.07671 
767.0186	0.07668 
766.7852	0.07666 
766.8085	0.07666 
766.6435	0.07664 
766.6991	0.07665 
766.6886	0.07664 
766.2724	0.07660 
766.4699	0.07662 
766.2224	0.07660 
766.5083	0.07663 
766.4280	0.07662 
766.2701	0.07660 
766.4719	0.07662 
767.0329	0.07668 
766.8109	0.07665 
766.7805	0.07665 
766.7952	0.07665 
766.7370	0.07665 
766.7352	0.07665 
766.5391	0.07663 
766.9044	0.07666 
766.7354	0.07665 
766.8256	0.07666 
766.1772	0.07659 
766.0510	0.07658 
767.7100	0.07674 
766.4543	0.07662 
766.7708	0.07665 
766.6419	0.07664 
766.9656	0.07667 
766.5942	0.07664 
767.0188	0.07668 
766.7123	0.07665 
766.8147	0.07666 
766.3727	0.07661 
766.2781	0.07660 
766.1595	0.07659 
766.4712	0.07662 
766.4518	0.07662 
766.2586	0.07660 
766.3143	0.07661 
766.5567	0.07663 
766.3614	0.07661 
766.3661	0.07661 
766.2235	0.07660 
766.9154	0.07667 
