Time	Per
38.5857	0.00380 
38.5126	0.00379 
38.5209	0.00379 
38.5186	0.00379 
38.5815	0.00380 
38.5636	0.00380 
38.5400	0.00379 
38.5621	0.00380 
38.5433	0.00379 
38.5217	0.00379 
38.6115	0.00380 
40.3490	0.00397 
40.4671	0.00398 
40.2708	0.00396 
40.4831	0.00398 
40.5115	0.00399 
40.2989	0.00397 
40.4513	0.00398 
40.2804	0.00396 
40.4024	0.00398 
40.2852	0.00397 
40.4269	0.00398 
40.4503	0.00398 
40.3679	0.00397 
40.3676	0.00397 
40.4406	0.00398 
40.3956	0.00398 
40.2995	0.00397 
40.4519	0.00398 
40.4031	0.00398 
40.3280	0.00397 
40.3881	0.00397 
40.4274	0.00398 
40.4209	0.00398 
40.3064	0.00397 
40.4068	0.00398 
40.3073	0.00397 
40.4186	0.00398 
40.2634	0.00396 
40.2740	0.00396 
40.4439	0.00398 
40.2413	0.00396 
40.4282	0.00398 
40.4044	0.00397 
40.2695	0.00396 
40.2641	0.00396 
40.4566	0.00398 
40.4313	0.00398 
40.2649	0.00396 
40.4200	0.00398 
40.4340	0.00398 
40.4170	0.00397 
40.3084	0.00397 
40.4671	0.00398 
40.2736	0.00396 
40.2433	0.00396 
40.2673	0.00396 
40.2531	0.00396 
40.2237	0.00396 
40.3689	0.00397 
40.3390	0.00397 
40.3534	0.00397 
40.2070	0.00396 
40.3295	0.00397 
40.3409	0.00397 
40.3351	0.00397 
40.3515	0.00397 
40.3492	0.00397 
40.3164	0.00397 
40.3601	0.00397 
40.2187	0.00396 
40.3689	0.00397 
40.3517	0.00397 
40.3732	0.00397 
40.2153	0.00396 
40.3790	0.00397 
40.3577	0.00397 
40.4051	0.00398 
40.3773	0.00397 
40.3402	0.00397 
40.2267	0.00396 
40.3642	0.00397 
40.2459	0.00396 
40.3513	0.00397 
40.4312	0.00398 
40.3885	0.00397 
40.4025	0.00398 
40.3724	0.00397 
40.3617	0.00397 
40.3348	0.00397 
40.3848	0.00397 
40.3665	0.00397 
40.4064	0.00398 
40.3751	0.00397 
40.3943	0.00397 
40.3635	0.00397 
40.4011	0.00398 
40.4133	0.00398 
40.3139	0.00397 
40.3414	0.00397 
