Time	Per
37.1308	0.00362 
37.1206	0.00362 
37.1898	0.00363 
37.1499	0.00362 
37.1978	0.00363 
37.2353	0.00363 
37.2406	0.00363 
37.1147	0.00362 
37.2065	0.00363 
37.1149	0.00362 
37.3071	0.00364 
37.1586	0.00363 
37.2414	0.00363 
37.1337	0.00362 
37.1291	0.00362 
37.4270	0.00365 
37.4652	0.00366 
37.2407	0.00363 
37.1631	0.00363 
37.0935	0.00362 
37.1197	0.00362 
37.1979	0.00363 
37.2096	0.00363 
37.0991	0.00362 
37.1150	0.00362 
37.5108	0.00366 
37.2397	0.00364 
37.1311	0.00362 
37.2209	0.00363 
37.1045	0.00362 
37.1127	0.00362 
37.3503	0.00365 
37.1894	0.00363 
37.1781	0.00363 
37.1893	0.00363 
37.1066	0.00362 
37.1752	0.00363 
37.1192	0.00362 
37.1702	0.00363 
37.7462	0.00369 
37.3522	0.00365 
37.0951	0.00362 
37.1312	0.00362 
37.0926	0.00362 
37.1720	0.00363 
37.1348	0.00362 
37.4962	0.00366 
37.1474	0.00363 
37.1415	0.00362 
37.2524	0.00364 
37.3640	0.00365 
37.0878	0.00362 
37.0820	0.00362 
37.1629	0.00363 
37.2156	0.00363 
37.2055	0.00363 
37.2921	0.00364 
37.1266	0.00362 
37.1989	0.00363 
37.1020	0.00362 
37.0958	0.00362 
37.2956	0.00364 
37.1479	0.00363 
37.0714	0.00362 
37.1351	0.00362 
37.0787	0.00362 
37.1968	0.00363 
37.0781	0.00362 
37.1533	0.00363 
37.0809	0.00362 
37.3049	0.00364 
37.0964	0.00362 
37.0744	0.00362 
37.1008	0.00362 
37.0808	0.00362 
37.0916	0.00362 
37.0856	0.00362 
37.1049	0.00362 
37.0864	0.00362 
37.3491	0.00365 
37.0944	0.00362 
37.0982	0.00362 
37.2927	0.00364 
37.1252	0.00362 
37.0758	0.00362 
37.2202	0.00363 
37.3013	0.00364 
37.0841	0.00362 
37.1673	0.00363 
37.0896	0.00362 
37.1199	0.00362 
37.0911	0.00362 
37.0783	0.00362 
37.1568	0.00363 
37.3586	0.00365 
37.1019	0.00362 
37.1940	0.00363 
37.4245	0.00365 
37.1975	0.00363 
37.1326	0.00362 
