Time	Per
770.2868	0.07700 
766.3233	0.07661 
766.0189	0.07658 
766.4157	0.07662 
766.3304	0.07661 
765.9332	0.07657 
765.9916	0.07658 
766.3280	0.07661 
766.3291	0.07661 
766.3874	0.07662 
766.8396	0.07666 
766.7413	0.07665 
766.4469	0.07662 
766.8881	0.07667 
766.8152	0.07666 
766.9779	0.07667 
766.7748	0.07666 
766.7264	0.07665 
766.6620	0.07664 
765.9842	0.07658 
766.2615	0.07660 
766.1514	0.07659 
766.3097	0.07661 
767.8215	0.07676 
767.8826	0.07677 
767.9122	0.07677 
767.0751	0.07668 
766.4616	0.07662 
766.6347	0.07664 
766.6755	0.07664 
766.7375	0.07665 
767.0605	0.07668 
766.3977	0.07662 
766.4939	0.07663 
766.4451	0.07662 
765.8215	0.07656 
766.5018	0.07663 
765.9934	0.07658 
766.1432	0.07659 
766.3010	0.07661 
766.5512	0.07663 
766.6011	0.07664 
766.5552	0.07663 
766.3510	0.07661 
766.4142	0.07662 
766.4168	0.07662 
766.2661	0.07661 
767.9527	0.07677 
767.3626	0.07671 
766.3495	0.07661 
766.2719	0.07661 
766.3615	0.07661 
766.4694	0.07662 
766.6513	0.07664 
766.5030	0.07663 
766.4125	0.07662 
766.4751	0.07663 
768.3041	0.07680 
766.7375	0.07665 
766.1301	0.07659 
766.0548	0.07658 
766.3464	0.07661 
766.6884	0.07664 
766.5046	0.07663 
766.7674	0.07665 
766.4715	0.07662 
766.3543	0.07661 
767.6396	0.07674 
768.0467	0.07678 
767.9006	0.07677 
767.8551	0.07676 
767.8887	0.07677 
767.2671	0.07670 
766.5502	0.07663 
766.9964	0.07667 
766.8346	0.07666 
766.4395	0.07662 
766.6598	0.07664 
766.5405	0.07663 
766.6101	0.07664 
766.8300	0.07666 
768.2146	0.07679 
767.0996	0.07669 
766.9406	0.07667 
766.5035	0.07663 
765.9853	0.07658 
765.9334	0.07657 
766.1491	0.07659 
766.1387	0.07659 
766.1163	0.07659 
766.5745	0.07663 
766.4639	0.07662 
766.4036	0.07662 
766.3238	0.07661 
766.5112	0.07663 
766.3465	0.07661 
766.3495	0.07661 
766.2837	0.07661 
766.7044	0.07665 
767.2911	0.07670 
