Time	Per
60.3736	0.00584 
60.3192	0.00583 
60.3261	0.00583 
60.3192	0.00583 
60.3247	0.00583 
60.3243	0.00583 
60.3206	0.00583 
60.3244	0.00583 
60.3248	0.00584 
60.3214	0.00583 
60.3209	0.00583 
60.3235	0.00583 
60.3181	0.00583 
60.3240	0.00583 
60.3259	0.00583 
60.3176	0.00583 
60.3157	0.00583 
60.3185	0.00583 
60.3159	0.00583 
60.3237	0.00583 
60.3350	0.00584 
60.3219	0.00583 
60.3233	0.00583 
60.3249	0.00583 
60.3247	0.00583 
60.3260	0.00583 
60.3283	0.00584 
60.3237	0.00583 
60.3227	0.00583 
60.3209	0.00583 
60.3277	0.00583 
60.5570	0.00586 
61.0774	0.00590 
60.9040	0.00589 
60.4428	0.00585 
60.3293	0.00584 
60.3226	0.00583 
60.3270	0.00583 
60.3199	0.00583 
60.3212	0.00583 
60.3201	0.00583 
60.3198	0.00583 
60.3172	0.00583 
60.3279	0.00583 
60.3304	0.00584 
60.3216	0.00583 
60.3157	0.00583 
60.3170	0.00583 
60.3183	0.00583 
60.3264	0.00583 
60.3118	0.00583 
60.3116	0.00583 
60.3137	0.00583 
60.3228	0.00583 
60.3231	0.00583 
60.3167	0.00583 
60.3346	0.00584 
60.3285	0.00584 
60.3192	0.00583 
60.3222	0.00583 
60.3257	0.00583 
60.3154	0.00583 
60.3252	0.00583 
60.3207	0.00583 
60.3266	0.00584 
60.3178	0.00583 
60.3262	0.00584 
60.3242	0.00583 
60.3274	0.00584 
60.3204	0.00583 
60.3300	0.00584 
60.3216	0.00583 
60.3280	0.00584 
60.3211	0.00583 
60.3253	0.00584 
60.3241	0.00583 
60.3261	0.00583 
60.3348	0.00584 
60.3253	0.00584 
60.3295	0.00584 
60.3261	0.00584 
60.3183	0.00583 
60.3133	0.00583 
60.3181	0.00583 
60.3199	0.00583 
60.3175	0.00583 
60.3273	0.00584 
60.3315	0.00584 
60.3120	0.00583 
60.3238	0.00583 
60.3135	0.00583 
60.3212	0.00583 
60.3101	0.00583 
60.3187	0.00583 
60.3111	0.00583 
60.3249	0.00583 
60.3133	0.00583 
60.3154	0.00583 
60.3135	0.00583 
60.3271	0.00583 
