Time	Per
121.6520	0.01214 
121.3155	0.01211 
121.3910	0.01212 
121.3588	0.01211 
121.4187	0.01212 
121.2363	0.01211 
120.8208	0.01207 
120.8958	0.01207 
120.8665	0.01207 
120.9080	0.01208 
120.8620	0.01207 
120.8877	0.01207 
120.8765	0.01207 
120.8729	0.01207 
120.8525	0.01207 
120.8990	0.01208 
121.0298	0.01209 
120.8799	0.01207 
120.9443	0.01208 
120.9474	0.01208 
120.9406	0.01208 
120.9163	0.01208 
120.9325	0.01208 
120.9435	0.01208 
120.9538	0.01208 
120.8966	0.01208 
120.9189	0.01208 
120.8864	0.01207 
120.8790	0.01207 
120.8638	0.01207 
120.8479	0.01207 
120.9584	0.01208 
120.7646	0.01206 
120.8023	0.01207 
120.7360	0.01206 
120.7971	0.01207 
120.7829	0.01206 
120.7150	0.01206 
120.7700	0.01206 
120.8826	0.01207 
120.8725	0.01207 
120.7790	0.01206 
120.7129	0.01206 
120.7157	0.01206 
120.7906	0.01206 
120.7941	0.01207 
120.7647	0.01206 
120.7472	0.01206 
120.8190	0.01207 
120.8702	0.01207 
120.8620	0.01207 
120.7891	0.01207 
120.7651	0.01206 
120.8868	0.01207 
120.9064	0.01207 
120.8868	0.01207 
120.8985	0.01207 
120.7365	0.01206 
120.7304	0.01206 
120.7190	0.01206 
120.7241	0.01206 
120.7410	0.01206 
120.7394	0.01206 
120.7568	0.01206 
120.8716	0.01207 
120.7755	0.01206 
120.7195	0.01206 
120.7262	0.01206 
120.9635	0.01208 
120.9966	0.01209 
120.9859	0.01208 
121.0407	0.01209 
121.0703	0.01209 
121.0416	0.01209 
120.9785	0.01208 
120.9589	0.01208 
121.0186	0.01209 
121.0300	0.01209 
121.0354	0.01209 
121.0256	0.01209 
120.9567	0.01208 
120.9731	0.01208 
120.9675	0.01208 
121.0111	0.01209 
120.9538	0.01208 
120.9587	0.01208 
120.9569	0.01208 
120.9605	0.01208 
120.9810	0.01208 
120.9755	0.01208 
120.9703	0.01208 
121.0237	0.01209 
120.9674	0.01208 
120.9839	0.01208 
121.0970	0.01209 
121.1438	0.01210 
121.1401	0.01210 
121.1597	0.01210 
120.9569	0.01208 
120.7221	0.01206 
