Time	Per
7.3157	0.00070 
7.3182	0.00070 
8.2593	0.00078 
8.2497	0.00078 
8.2564	0.00078 
8.2435	0.00078 
8.2431	0.00078 
8.2569	0.00078 
8.2160	0.00078 
8.2403	0.00078 
8.2326	0.00078 
8.2075	0.00078 
8.2472	0.00078 
8.2514	0.00078 
8.2521	0.00078 
8.2450	0.00078 
8.2516	0.00078 
8.2595	0.00078 
8.2183	0.00078 
8.2521	0.00078 
8.2165	0.00078 
8.2531	0.00078 
8.2532	0.00078 
8.2529	0.00078 
8.2462	0.00078 
8.2502	0.00078 
8.2517	0.00078 
8.2499	0.00078 
8.2029	0.00078 
8.2538	0.00078 
8.2507	0.00078 
8.2439	0.00078 
8.2489	0.00078 
8.2566	0.00078 
8.2534	0.00078 
8.2524	0.00078 
8.2570	0.00078 
8.2070	0.00078 
8.2527	0.00078 
8.2541	0.00078 
8.2578	0.00078 
8.2590	0.00078 
8.2568	0.00078 
8.2480	0.00078 
8.2428	0.00078 
8.2472	0.00078 
8.2436	0.00078 
8.2103	0.00078 
8.1964	0.00078 
8.2463	0.00078 
8.2377	0.00078 
8.2542	0.00078 
8.2459	0.00078 
8.2417	0.00078 
8.2357	0.00078 
8.2383	0.00078 
8.2414	0.00078 
8.2347	0.00078 
8.1791	0.00078 
8.2295	0.00078 
8.2275	0.00078 
8.2372	0.00078 
8.2317	0.00078 
8.2274	0.00078 
8.2286	0.00078 
8.2299	0.00078 
8.2318	0.00078 
8.2187	0.00078 
8.1767	0.00078 
8.2237	0.00078 
8.2281	0.00078 
8.2303	0.00078 
8.2314	0.00078 
8.2351	0.00078 
8.2323	0.00078 
8.2342	0.00078 
8.2265	0.00078 
7.2950	0.00069 
7.2851	0.00069 
7.2939	0.00069 
7.2942	0.00069 
7.2928	0.00069 
7.2874	0.00069 
7.2933	0.00069 
7.2905	0.00069 
7.2895	0.00069 
7.2912	0.00069 
7.2849	0.00069 
7.2851	0.00069 
7.2925	0.00069 
7.2905	0.00069 
7.2876	0.00069 
7.2915	0.00069 
7.2889	0.00069 
7.2833	0.00069 
7.2881	0.00069 
7.2886	0.00069 
7.2954	0.00069 
7.2874	0.00069 
7.2911	0.00069 
