Time	Per
6.6674	0.00063 
6.6708	0.00063 
6.6678	0.00063 
6.6645	0.00063 
6.6713	0.00063 
6.6622	0.00063 
6.6680	0.00063 
6.6623	0.00063 
6.6780	0.00063 
6.6671	0.00063 
6.6631	0.00063 
6.6796	0.00063 
6.6754	0.00063 
6.6758	0.00063 
6.6750	0.00063 
6.6694	0.00063 
6.7967	0.00063 
6.6865	0.00063 
6.6786	0.00063 
6.6742	0.00063 
6.6556	0.00063 
6.6423	0.00062 
6.6647	0.00063 
6.7116	0.00063 
6.6780	0.00063 
6.6848	0.00063 
6.6884	0.00063 
6.6868	0.00063 
6.6872	0.00063 
7.2016	0.00068 
7.2684	0.00068 
7.2844	0.00068 
7.2798	0.00068 
7.3208	0.00069 
7.2964	0.00069 
6.8193	0.00064 
6.6595	0.00063 
6.6589	0.00063 
6.6679	0.00063 
6.6573	0.00063 
6.6911	0.00063 
6.6483	0.00063 
6.6603	0.00063 
6.6624	0.00063 
6.6679	0.00063 
6.6629	0.00063 
6.6643	0.00063 
6.6588	0.00063 
6.6418	0.00062 
6.6667	0.00063 
6.6714	0.00063 
6.7180	0.00063 
6.8990	0.00065 
6.6794	0.00063 
6.6548	0.00063 
6.6680	0.00063 
6.6704	0.00063 
6.6667	0.00063 
6.6646	0.00063 
6.8130	0.00064 
6.6588	0.00063 
6.6647	0.00063 
6.6602	0.00063 
7.2433	0.00068 
6.6858	0.00063 
6.6860	0.00063 
6.6845	0.00063 
6.6862	0.00063 
6.6951	0.00063 
6.6818	0.00063 
6.6809	0.00063 
6.6880	0.00063 
6.6839	0.00063 
6.6912	0.00063 
6.6855	0.00063 
6.6820	0.00063 
6.6940	0.00063 
6.6863	0.00063 
6.6797	0.00063 
6.6864	0.00063 
6.6789	0.00063 
6.6816	0.00063 
6.6757	0.00063 
6.6867	0.00063 
6.6919	0.00063 
6.6801	0.00063 
6.6789	0.00063 
6.6812	0.00063 
6.6793	0.00063 
6.6846	0.00063 
6.6690	0.00063 
6.6880	0.00063 
6.6574	0.00063 
6.6830	0.00063 
6.6806	0.00063 
6.6760	0.00063 
6.6780	0.00063 
6.6733	0.00063 
6.6725	0.00063 
6.6800	0.00063 
