Time	Per
122.4491	0.01222 
121.3417	0.01211 
121.4592	0.01212 
121.3175	0.01211 
121.2505	0.01210 
121.3181	0.01211 
121.0188	0.01209 
120.9804	0.01208 
121.9415	0.01217 
122.0679	0.01218 
122.0257	0.01218 
121.8135	0.01216 
121.2776	0.01211 
121.0100	0.01209 
120.8536	0.01207 
120.7661	0.01206 
120.7301	0.01206 
121.1065	0.01210 
121.1048	0.01210 
121.1086	0.01210 
120.8202	0.01207 
120.7482	0.01206 
120.7617	0.01206 
120.7604	0.01206 
120.7646	0.01206 
120.7341	0.01206 
120.7169	0.01206 
120.7448	0.01206 
120.7737	0.01206 
120.7603	0.01206 
120.7245	0.01206 
120.8302	0.01207 
120.8776	0.01207 
120.7348	0.01206 
120.7037	0.01206 
120.6943	0.01206 
120.7177	0.01206 
120.7112	0.01206 
120.7359	0.01206 
120.7304	0.01206 
120.7613	0.01206 
120.7202	0.01206 
120.7672	0.01206 
121.0053	0.01209 
121.0856	0.01209 
120.9826	0.01208 
121.0882	0.01209 
121.2295	0.01211 
122.5468	0.01223 
121.8868	0.01217 
121.8625	0.01216 
122.0375	0.01218 
121.7479	0.01215 
120.9796	0.01208 
120.9894	0.01209 
120.9665	0.01208 
120.9492	0.01208 
120.9704	0.01208 
121.0368	0.01209 
120.9499	0.01208 
120.8346	0.01207 
120.6942	0.01206 
120.7423	0.01206 
120.7659	0.01206 
120.7195	0.01206 
120.7437	0.01206 
120.7002	0.01206 
120.6989	0.01206 
120.7628	0.01206 
120.7631	0.01206 
120.7555	0.01206 
120.8033	0.01207 
120.9263	0.01208 
120.7148	0.01206 
120.6989	0.01206 
120.7110	0.01206 
120.7914	0.01207 
120.8319	0.01207 
120.8253	0.01207 
120.8539	0.01207 
120.7645	0.01206 
120.8060	0.01207 
120.7742	0.01206 
120.7553	0.01206 
120.7323	0.01206 
120.7410	0.01206 
120.7330	0.01206 
120.8732	0.01207 
120.7704	0.01206 
120.7557	0.01206 
120.7942	0.01207 
120.9058	0.01207 
120.7806	0.01206 
120.6853	0.01206 
120.6827	0.01206 
120.6876	0.01206 
120.7096	0.01206 
120.7242	0.01206 
120.7519	0.01206 
120.7196	0.01206 
