Time	Per
7.3994	0.00070 
7.3974	0.00070 
7.4006	0.00070 
7.3975	0.00070 
7.3865	0.00070 
7.3958	0.00070 
7.3966	0.00070 
7.4003	0.00070 
7.4008	0.00070 
7.3897	0.00070 
7.3931	0.00070 
7.4026	0.00070 
7.3876	0.00070 
7.3934	0.00070 
7.3959	0.00070 
7.3881	0.00070 
8.0671	0.00077 
7.8971	0.00075 
7.3953	0.00070 
7.3695	0.00070 
7.3611	0.00070 
7.7700	0.00074 
8.3267	0.00079 
8.3336	0.00079 
8.3305	0.00079 
8.3297	0.00079 
8.3314	0.00079 
8.3317	0.00079 
8.2972	0.00079 
8.3359	0.00079 
8.3308	0.00079 
8.3235	0.00079 
8.3251	0.00079 
8.3222	0.00079 
8.3277	0.00079 
8.3253	0.00079 
8.3274	0.00079 
8.2745	0.00079 
8.3264	0.00079 
8.3256	0.00079 
8.3325	0.00079 
8.3271	0.00079 
8.3164	0.00079 
8.3280	0.00079 
8.3157	0.00079 
8.3292	0.00079 
8.3200	0.00079 
8.2682	0.00079 
8.3281	0.00079 
8.3286	0.00079 
8.3253	0.00079 
8.3231	0.00079 
8.3274	0.00079 
8.3277	0.00079 
8.3240	0.00079 
8.3273	0.00079 
8.2924	0.00079 
8.3102	0.00079 
8.2859	0.00079 
8.2919	0.00079 
8.2567	0.00078 
8.2988	0.00079 
8.3063	0.00079 
8.3124	0.00079 
8.3081	0.00079 
8.3082	0.00079 
8.2571	0.00078 
8.3086	0.00079 
8.3098	0.00079 
8.3096	0.00079 
8.3059	0.00079 
8.3030	0.00079 
8.3008	0.00079 
8.3080	0.00079 
8.3044	0.00079 
8.3119	0.00079 
8.2909	0.00079 
8.2608	0.00078 
8.3051	0.00079 
8.3044	0.00079 
8.3030	0.00079 
8.3018	0.00079 
8.3054	0.00079 
8.3061	0.00079 
8.3111	0.00079 
8.3108	0.00079 
8.2616	0.00078 
8.3076	0.00079 
8.3013	0.00079 
8.3064	0.00079 
8.3060	0.00079 
8.2712	0.00079 
8.3078	0.00079 
8.3062	0.00079 
8.3075	0.00079 
8.3040	0.00079 
8.3029	0.00079 
8.3081	0.00079 
8.3073	0.00079 
8.3090	0.00079 
