Time	Per
6.6536	0.00063 
6.6661	0.00063 
6.6442	0.00062 
6.7510	0.00063 
6.6534	0.00063 
6.6803	0.00063 
6.6461	0.00063 
6.6598	0.00063 
6.6503	0.00063 
6.6475	0.00063 
6.6530	0.00063 
6.6514	0.00063 
6.6463	0.00063 
6.6535	0.00063 
6.6475	0.00063 
6.6579	0.00063 
6.6460	0.00063 
6.6884	0.00063 
6.7864	0.00064 
7.2458	0.00068 
6.8232	0.00064 
6.6557	0.00063 
6.6547	0.00063 
6.6513	0.00063 
6.6475	0.00063 
6.6530	0.00063 
6.6462	0.00063 
6.6447	0.00062 
6.6469	0.00063 
6.6452	0.00062 
6.6467	0.00063 
6.6495	0.00063 
6.6422	0.00062 
6.6300	0.00062 
6.6136	0.00062 
6.6328	0.00062 
6.6302	0.00062 
6.6392	0.00062 
6.6390	0.00063 
6.6370	0.00062 
6.6233	0.00062 
6.6144	0.00062 
6.6269	0.00062 
6.6455	0.00062 
6.6579	0.00063 
6.6608	0.00063 
6.6551	0.00063 
6.6527	0.00063 
6.6490	0.00063 
6.6455	0.00062 
6.6472	0.00063 
6.6421	0.00062 
7.1775	0.00067 
7.2459	0.00068 
7.2536	0.00068 
7.2530	0.00068 
7.2633	0.00068 
7.2314	0.00068 
6.6585	0.00063 
6.6819	0.00063 
6.6543	0.00063 
6.6496	0.00063 
6.7339	0.00063 
6.6440	0.00062 
6.6232	0.00062 
6.6453	0.00063 
6.6407	0.00062 
6.6276	0.00062 
6.6513	0.00063 
6.6512	0.00063 
6.6568	0.00063 
6.6529	0.00063 
6.6472	0.00063 
6.6567	0.00063 
6.7152	0.00063 
6.6286	0.00062 
6.6305	0.00062 
6.6517	0.00063 
6.6398	0.00062 
6.6442	0.00062 
6.6432	0.00062 
6.6448	0.00062 
6.6435	0.00063 
6.6406	0.00062 
6.6247	0.00062 
6.6401	0.00062 
6.6495	0.00063 
6.6592	0.00063 
6.6475	0.00063 
6.6490	0.00063 
6.6434	0.00062 
6.6436	0.00062 
6.6357	0.00062 
6.6423	0.00062 
6.6465	0.00063 
6.6416	0.00062 
6.6327	0.00062 
6.6357	0.00062 
6.6368	0.00062 
6.6380	0.00062 
