Time	Per
404.2023	0.04039 
403.6659	0.04034 
402.8944	0.04027 
402.6947	0.04025 
402.7945	0.04026 
402.6966	0.04025 
403.0125	0.04028 
403.1898	0.04030 
403.1491	0.04030 
403.3759	0.04032 
403.1707	0.04030 
403.3742	0.04032 
403.1319	0.04029 
403.1750	0.04030 
403.1237	0.04029 
403.1504	0.04030 
403.2057	0.04030 
403.3065	0.04031 
403.1089	0.04029 
403.2416	0.04031 
403.1574	0.04030 
403.7538	0.04035 
404.7579	0.04045 
403.5463	0.04033 
403.1361	0.04030 
403.1773	0.04030 
405.4816	0.04052 
403.7169	0.04035 
404.2727	0.04040 
404.9734	0.04047 
403.4720	0.04033 
403.2825	0.04031 
403.2630	0.04031 
403.4755	0.04033 
403.4296	0.04032 
403.2867	0.04031 
403.3543	0.04032 
403.2322	0.04031 
403.2205	0.04030 
402.8404	0.04027 
402.8383	0.04027 
402.9561	0.04028 
402.9266	0.04027 
403.2298	0.04030 
403.1369	0.04029 
402.8692	0.04027 
402.8214	0.04026 
403.1075	0.04029 
402.9745	0.04028 
402.8754	0.04027 
403.1334	0.04029 
403.3601	0.04032 
403.3318	0.04031 
403.3033	0.04031 
403.3430	0.04032 
403.3589	0.04032 
403.3923	0.04032 
403.1530	0.04030 
402.7580	0.04026 
402.9197	0.04027 
402.7689	0.04026 
402.7028	0.04025 
402.7495	0.04026 
402.7160	0.04025 
402.9084	0.04027 
403.0078	0.04028 
402.7216	0.04025 
403.1185	0.04029 
403.2658	0.04031 
403.4283	0.04032 
403.1445	0.04030 
403.2404	0.04031 
403.1385	0.04030 
403.1440	0.04030 
403.1596	0.04030 
403.1330	0.04030 
403.4214	0.04032 
403.7733	0.04036 
403.3678	0.04032 
403.1810	0.04030 
403.6663	0.04035 
403.1440	0.04030 
403.2495	0.04031 
403.6441	0.04034 
403.8861	0.04036 
404.1034	0.04039 
402.8772	0.04027 
402.8289	0.04027 
402.7674	0.04026 
402.8743	0.04027 
403.1847	0.04030 
403.0270	0.04028 
403.0558	0.04029 
403.0943	0.04029 
402.9797	0.04028 
402.8996	0.04027 
403.5935	0.04034 
404.8635	0.04046 
402.9606	0.04028 
402.7146	0.04025 
