Time	Per
31.2584	0.00304 
30.4181	0.00296 
30.3973	0.00296 
30.4207	0.00296 
30.4038	0.00296 
30.4255	0.00296 
30.4027	0.00296 
30.4223	0.00296 
30.4093	0.00296 
30.4269	0.00296 
30.4118	0.00296 
30.4273	0.00296 
30.4101	0.00296 
30.4311	0.00296 
30.4123	0.00296 
30.4316	0.00296 
30.4035	0.00296 
30.4253	0.00296 
30.4024	0.00296 
30.4248	0.00296 
30.4013	0.00296 
30.4187	0.00296 
30.3962	0.00296 
30.4459	0.00296 
30.4321	0.00296 
30.5649	0.00297 
30.4031	0.00296 
30.4720	0.00296 
30.3999	0.00296 
30.5932	0.00298 
31.4020	0.00305 
31.4351	0.00306 
31.5389	0.00307 
31.4298	0.00306 
30.7478	0.00299 
30.4269	0.00296 
30.4033	0.00296 
30.4151	0.00296 
30.4513	0.00296 
30.4593	0.00296 
30.4041	0.00296 
30.4281	0.00296 
30.4277	0.00296 
30.5290	0.00297 
30.4145	0.00296 
30.4232	0.00296 
30.4090	0.00296 
30.4893	0.00296 
30.3972	0.00296 
30.4157	0.00296 
30.3985	0.00296 
30.4131	0.00296 
30.5192	0.00297 
30.5976	0.00297 
30.4440	0.00296 
30.6147	0.00298 
30.5155	0.00297 
30.4189	0.00296 
30.4200	0.00296 
30.4485	0.00296 
30.5979	0.00298 
30.4170	0.00296 
30.6398	0.00298 
30.4148	0.00296 
30.4024	0.00296 
30.4163	0.00296 
30.3993	0.00296 
30.4102	0.00296 
30.3917	0.00295 
31.0062	0.00302 
30.3960	0.00296 
30.4219	0.00296 
30.6398	0.00298 
30.5446	0.00297 
30.4430	0.00296 
30.4778	0.00296 
30.6907	0.00298 
30.7325	0.00299 
30.4327	0.00296 
30.5390	0.00297 
30.4074	0.00296 
30.4144	0.00296 
30.4002	0.00296 
30.4607	0.00296 
30.6185	0.00298 
30.5767	0.00297 
30.4021	0.00296 
30.4272	0.00296 
30.3999	0.00296 
30.6325	0.00298 
30.4216	0.00296 
30.6529	0.00298 
30.5269	0.00297 
30.6357	0.00298 
30.4051	0.00296 
30.4209	0.00296 
30.3982	0.00296 
30.4169	0.00296 
30.4035	0.00296 
30.4218	0.00296 
