Time	Per
404.5118	0.04042 
404.0052	0.04037 
403.1458	0.04030 
403.1303	0.04030 
403.1480	0.04030 
403.2763	0.04031 
403.2325	0.04030 
403.1238	0.04029 
403.2028	0.04030 
403.4411	0.04032 
403.2893	0.04031 
403.2210	0.04030 
403.3024	0.04031 
403.2105	0.04030 
403.2281	0.04030 
403.4263	0.04032 
403.1653	0.04030 
402.8302	0.04027 
402.7215	0.04026 
402.7955	0.04026 
403.0282	0.04028 
403.0080	0.04028 
402.8172	0.04026 
402.7990	0.04026 
402.7868	0.04026 
402.7588	0.04026 
403.0809	0.04029 
402.7017	0.04025 
403.0239	0.04028 
402.9087	0.04027 
402.7484	0.04026 
402.9535	0.04028 
402.7122	0.04025 
402.8243	0.04026 
402.7044	0.04025 
402.7861	0.04026 
402.8764	0.04027 
403.0091	0.04028 
402.7659	0.04026 
402.7851	0.04026 
402.9749	0.04028 
402.7750	0.04026 
402.7651	0.04026 
402.8752	0.04027 
402.9630	0.04028 
402.8854	0.04027 
403.0989	0.04029 
403.0572	0.04029 
402.7658	0.04026 
402.6935	0.04025 
403.0926	0.04029 
403.4890	0.04033 
403.1072	0.04029 
403.2347	0.04031 
403.0555	0.04029 
403.1563	0.04030 
403.4460	0.04032 
403.2321	0.04030 
402.8526	0.04027 
402.9327	0.04027 
403.1171	0.04029 
403.1430	0.04030 
403.4792	0.04033 
403.4697	0.04033 
403.4513	0.04032 
403.2697	0.04031 
403.1843	0.04030 
403.2174	0.04030 
403.1832	0.04030 
402.8157	0.04026 
403.0687	0.04029 
403.1762	0.04030 
403.0550	0.04029 
402.9636	0.04028 
402.9172	0.04027 
402.7095	0.04025 
402.8738	0.04027 
402.6871	0.04025 
402.8905	0.04027 
402.6678	0.04025 
402.7457	0.04026 
402.9189	0.04027 
403.1582	0.04030 
403.3617	0.04032 
403.2482	0.04031 
402.9069	0.04027 
402.8690	0.04027 
402.8025	0.04026 
402.7939	0.04026 
402.7851	0.04026 
402.8232	0.04027 
403.0106	0.04028 
402.7725	0.04026 
402.7734	0.04026 
402.7285	0.04026 
402.7214	0.04025 
403.9170	0.04037 
404.8191	0.04045 
403.1376	0.04030 
403.1598	0.04030 
