Time	Per
30.7316	0.00299 
30.4539	0.00296 
30.4074	0.00296 
30.4355	0.00296 
30.4013	0.00296 
30.4290	0.00296 
30.4483	0.00296 
30.8656	0.00300 
30.4130	0.00296 
30.4323	0.00296 
30.6289	0.00298 
30.4334	0.00296 
30.4031	0.00296 
30.4219	0.00296 
30.5177	0.00297 
30.4744	0.00296 
30.3961	0.00296 
30.4270	0.00296 
30.3962	0.00296 
30.6163	0.00298 
30.4009	0.00296 
30.6350	0.00298 
30.3974	0.00296 
31.3965	0.00306 
31.3921	0.00305 
31.4169	0.00306 
31.3885	0.00305 
31.1056	0.00303 
30.4057	0.00296 
30.4239	0.00296 
30.4117	0.00296 
30.6001	0.00298 
30.5070	0.00297 
30.4657	0.00296 
30.4036	0.00296 
30.6449	0.00298 
30.9191	0.00300 
30.6647	0.00298 
30.5461	0.00297 
30.8550	0.00300 
30.4011	0.00296 
30.4318	0.00296 
30.4028	0.00296 
30.6415	0.00298 
30.5480	0.00297 
31.1543	0.00303 
31.2719	0.00304 
31.2031	0.00304 
30.6613	0.00298 
30.6003	0.00298 
30.4856	0.00296 
30.6627	0.00298 
30.4732	0.00296 
30.4484	0.00296 
30.4057	0.00296 
30.5917	0.00298 
30.6473	0.00298 
30.5934	0.00298 
30.7638	0.00299 
30.8210	0.00299 
31.0476	0.00302 
30.5404	0.00297 
30.4095	0.00296 
30.7162	0.00299 
30.3933	0.00296 
30.4430	0.00296 
30.3955	0.00296 
31.0488	0.00302 
31.4016	0.00306 
31.4702	0.00306 
30.4091	0.00296 
30.4383	0.00296 
30.4070	0.00296 
30.6754	0.00298 
30.6484	0.00298 
30.4707	0.00296 
30.4002	0.00296 
30.5118	0.00297 
30.4125	0.00296 
30.6196	0.00298 
30.8733	0.00300 
30.4490	0.00296 
30.4074	0.00296 
30.4246	0.00296 
30.8662	0.00300 
30.4250	0.00296 
30.4075	0.00296 
30.7383	0.00299 
30.6271	0.00298 
30.5006	0.00296 
30.7353	0.00299 
30.8499	0.00300 
30.4014	0.00296 
30.4785	0.00296 
30.3892	0.00296 
30.4279	0.00296 
30.3984	0.00296 
30.4296	0.00296 
30.3988	0.00296 
30.4258	0.00296 
